GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALW1E001,NAME_M,ALW1M001
"G28617","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28617",,,,,,,,"86000US28617",,,"ZCTA5 28617",41129,"ZCTA5 28617",14608
"G28618","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28618",,,,,,,,"86000US28618",,,"ZCTA5 28618",55521,"ZCTA5 28618",9361
"G28619","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28619",,,,,,,,"86000US28619",,,"ZCTA5 28619",44679,"ZCTA5 28619",11503
"G28621","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28621",,,,,,,,"86000US28621",,,"ZCTA5 28621",51242,"ZCTA5 28621",3524
"G28622","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28622",,,,,,,,"86000US28622",,,"ZCTA5 28622",30804,"ZCTA5 28622",3838
"G28623","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28623",,,,,,,,"86000US28623",,,"ZCTA5 28623",36587,"ZCTA5 28623",13601
"G28624","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28624",,,,,,,,"86000US28624",,,"ZCTA5 28624",29350,"ZCTA5 28624",9625
"G28625","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28625",,,,,,,,"86000US28625",,,"ZCTA5 28625",53638,"ZCTA5 28625",3028
"G28626","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28626",,,,,,,,"86000US28626",,,"ZCTA5 28626",55888,"ZCTA5 28626",13476
"G28627","2015-2019","US",,,,,,,,,,,,,,,,,,,,,,,,,,,"28627",,,,,,,,"86000US28627",,,"ZCTA5 28627",41750,"ZCTA5 28627",18495
